t,u,y
0.0,0.0,40.037818791563694
0.5,1.538923751524546,39.64940752911956
1.0,2.258278789804184,39.44257833763013
1.5,2.9316162661559435,39.0535219429209
2.0,2.1611786474242085,38.41134908758874
2.5,1.871710074123612,38.226721932924974
3.0,3.063098553293066,38.13207801692014
3.5,3.125225924743634,37.98725734837533
4.0,2.3809321027759003,38.13706105935742
4.5,1.3919135931212154,38.17746946669369
5.0,1.5563892706972493,38.38059747117133
5.5,2.1527053228951503,38.2193861717874
6.0,2.95688139118055,37.99142763108003
6.5,2.920058351405889,38.14739143611419
7.0,2.744375187154759,38.264275954794414
7.5,1.7979511681779288,38.39199441196289
8.0,1.505060063403419,38.748058937948905
8.5,1.4405922945529823,38.610809824141384
9.0,1.4725912426171135,38.677456775259834
9.5,2.55783937726526,38.2712198081564
10.0,2.722732313660614,38.0294323362754
10.5,2.4822460359175778,37.86990794387904
11.0,2.4231085338499327,38.095944259125005
11.5,3.3721546198859915,38.01825780085394
12.0,3.4196890680908028,38.32784699999774
12.5,2.5293312615141765,38.92215318710315
13.0,1.5607935861552202,39.65356764656539
13.5,1.258074555030606,40.07312439216506
14.0,0.6049425590167405,40.22401678300639
14.5,1.1970446275818845,39.99405110333196
15.0,2.386341195465417,39.73830382431912
15.5,3.10844364525313,38.984419929696465
16.0,2.93747704505613,38.72822892256461
16.5,1.8161752853034352,38.59226090731124
17.0,1.6493918270811407,38.61469976508728
17.5,1.4874688882363636,38.39369358875649
18.0,0.8933220085220936,37.77902176528847
18.5,1.0022724776759586,36.97091277112904
19.0,1.3637611118173791,36.030996394621816
19.5,1.5614908721139609,35.14646999029416
20.0,2.096717386718218,34.05729055624839
20.5,2.323583473299325,33.022621602926876
21.0,2.8958280458266477,32.04743842418305
21.5,2.403883803908484,31.60432454639292
22.0,2.158523474343042,31.234748862861256
22.5,2.9529118043464035,31.060447232420653
23.0,2.6940570829642794,31.225963862190326
23.5,1.752532376081775,31.43809268062051
24.0,1.7435601013694342,31.816845662054348
24.5,1.8247974611559896,32.05050672268099
25.0,0.9952614302185394,32.349246367340236
25.5,0.6023083209557785,32.47467379199017
26.0,1.07796438751985,32.0405231567461
26.5,2.4312749703213785,31.881293485704127
27.0,2.69074017977797,31.69702506550566
27.5,2.875990361831065,31.745440447641236
28.0,2.688576676649698,32.11501472346036
28.5,2.1995257794310143,32.85352874079158
29.0,1.7419049938783606,33.15025560457612
29.5,0.8542567748881642,33.89515361899952
30.0,1.1759165941583347,33.856851272803574
30.5,2.031017683113059,34.146413133405794
31.0,2.0665469055713803,34.32130965210113
31.5,2.4334209678678436,34.53159711445212
32.0,2.744213701071808,34.81840464107487
32.5,2.515488015769699,35.25916888547052
33.0,2.297717016884688,35.65873049318944
33.5,1.9532940553244205,36.22351619151308
34.0,1.101315904972554,36.8925774728193
34.5,0.8394590389531346,37.025996629328745
35.0,1.222955041733054,36.859883893854345
35.5,1.2016186002389762,36.61664660626992
36.0,2.0190289613881034,36.21407349370688
36.5,2.331949129083643,35.952756513464884
37.0,1.1449900311171042,35.506127362416606
37.5,0.7054100991535669,35.013013411628464
38.0,1.005579566804952,34.065125249712764
38.5,1.561910810134773,33.16005514764056
39.0,2.2351360953378387,32.225808355207725
39.5,2.5152504598593275,31.262862219211247
40.0,2.8284461323814947,30.748026932316357
40.5,2.421346831213471,30.27959988666318
41.0,2.306482060212028,30.20067478081074
41.5,2.2359555950526824,30.249421139472165
42.0,0.9507138625048988,30.288688460494843
42.5,0.3662538324977984,30.485093944892455
43.0,1.0703775742273538,30.091381744354695
43.5,2.0953252754616285,29.76367334404762
44.0,1.6104072484378464,29.507902147147327
44.5,1.2916465764903076,29.213926044411924
45.0,1.3877640735476762,28.91154097761026
45.5,1.4632118762658337,28.460256959626737
46.0,2.119856175429866,28.086357763463617
46.5,1.831321156697104,27.91997408726249
47.0,1.5078655608936504,27.599257330844896
47.5,1.659453044500946,27.535406072634213
48.0,1.9713715014782116,27.50923090263697
48.5,1.2943337196206115,27.587010951452097
49.0,0.6299410877697389,27.747670121293055
